NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING
3,254,154,18,1,17,2,1,160,191,10,11,250,254,250,5,1,2,1,5,2,1,1,1,1,1,1,1,1,1,1,3,8,0,12,40,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,115,3,228,3,225,9,28,226,255,250,36,193,251,196,115,1,25,25,53,34,31,31,34,37,34,32,32,24,19,12,15,16,0,41,72,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
31,3,1,255,39,149,18,12,224,103,221,16,143,62,129,44,30,17,31,43,49,43,41,50,46,22,39,31,19,12,7,8,10,0,29,61,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
3,23,4,1,19,236,136,34,253,255,254,18,78,246,111,104,4,62,39,54,67,58,50,57,48,44,49,55,48,45,42,55,68,0,40,58,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
214,157,2,255,8,54,113,31,252,210,28,114,166,253,187,5,44,26,63,84,70,64,43,38,35,47,44,34,31,23,25,21,16,44,34,73,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
221,51,2,255,8,81,196,28,250,167,78,33,184,246,179,11,57,41,59,65,96,87,58,50,46,46,69,46,57,48,49,50,36,39,40,77,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
88,24,4,255,22,144,240,34,250,140,175,12,163,231,134,88,145,41,55,63,113,105,84,75,64,82,91,58,54,42,46,3,21,57,40,64,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
77,38,3,255,15,109,246,36,252,201,111,39,120,57,145,50,103,36,61,70,112,105,90,91,77,44,63,42,29,25,27,36,17,46,40,70,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
207,21,3,255,22,71,174,34,215,140,20,42,163,231,172,18,93,35,65,65,85,77,50,44,41,26,48,36,36,23,23,32,17,56,37,67,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
198,95,3,255,8,63,111,34,250,194,15,45,104,246,158,14,108,21,63,68,92,85,55,68,50,36,44,32,29,20,18,16,16,72,40,74,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
246,1,3,255,22,63,223,34,90,1,69,14,98,10,90,50,150,24,58,66,127,114,100,92,68,54,55,37,30,26,18,17,16,43,43,100,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
240,78,3,255,15,63,62,36,239,166,20,44,106,243,149,40,106,29,67,70,105,89,68,67,62,50,55,36,33,29,25,21,12,66,40,73,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
239,2,4,255,15,95,172,36,195,72,71,11,104,152,110,38,146,24,56,51,111,98,80,87,76,44,53,36,33,25,26,18,9,51,38,78,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
253,12,4,255,22,51,53,39,167,29,7,15,98,255,130,12,115,16,64,61,102,87,62,59,55,44,46,26,32,14,14,7,37,95,53,67,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,239,2,5,4,155,67,26,254,255,203,176,176,255,176,52,1,139,63,49,21,19,17,29,98,105,116,139,172,178,177,161,92,59,37,78,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,240,4,16,2,231,18,39,250,255,253,166,202,246,193,109,1,72,61,59,61,56,40,73,126,111,128,141,155,148,123,92,44,0,50,96,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,200,3,107,2,168,44,36,252,255,183,174,216,226,195,76,1,41,65,58,28,27,20,18,22,53,36,52,68,73,83,61,25,45,47,89,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,213,3,47,1,186,52,34,252,255,217,192,213,255,192,86,1,52,66,58,30,27,22,40,90,59,53,59,74,71,85,83,52,69,40,77,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,211,3,1,8,186,177,34,255,255,245,151,114,251,182,111,1,52,66,59,44,47,35,58,82,42,55,56,64,60,61,44,32,47,37,74,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
2,200,2,11,4,140,179,28,255,255,152,62,103,246,160,63,1,41,61,61,42,50,38,46,69,36,66,56,56,52,62,36,17,74,40,73,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,231,3,1,8,205,146,36,255,255,246,171,102,245,172,152,1,83,65,68,49,44,39,53,96,71,110,113,121,116,110,102,52,54,47,107,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
5,133,2,217,40,154,77,28,255,255,168,106,103,221,136,91,1,48,57,63,104,101,88,100,113,51,102,77,72,54,44,39,21,39,37,74,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,230,4,1,4,243,97,28,255,255,255,137,107,248,184,186,1,30,61,54,18,18,17,32,69,20,39,38,49,36,41,22,24,43,40,67,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
1,193,2,3,8,164,195,28,255,255,193,79,99,255,164,96,1,37,61,63,48,52,39,53,67,36,44,41,43,32,54,36,24,60,40,67,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
13,255,1,218,15,1,83,3,167,201,0,2,255,254,255,4,49,2,33,27,31,28,17,16,8,3,6,2,1,2,1,1,1,29,23,98,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)
